Cargo,Unidade,Classe,Total,CH_20,CH_40,CH_De,Ti_G,Ti_PG,Ti_M,Ti_D,Ti_PD,Fu_FG,Fu_FCC,Fu_CD,Gasto anual com docentes do Magistério Superior em 2019
Reitoria                                                    ,Reitoria                                                    ,5,1,0,0,1,0,0,1,0,0,0,0,0,268593.93
Reitoria                                                    ,Reitoria                                                    ,7,3,0,0,3,0,0,0,3,0,0,0,3,1129294.35
Reitoria                                                    ,Reitoria                                                    ,8,5,0,0,5,0,0,0,5,0,0,0,5,1881956.41
Reitoria                                                    ,Reitoria                                                    ,6,6,0,2,4,0,0,0,6,0,1,0,3,803795.62
Superintendência Geral de Graduação e Corpo Discente        ,Superintendência Geral de Graduação e Corpo Discente        ,7,5,0,0,5,0,0,0,5,0,0,3,2,1017140.24
Superintendência Geral de Graduação e Corpo Discente        ,Superintendência Geral de Graduação e Corpo Discente        ,8,2,0,0,2,0,0,0,2,0,0,1,1,399725.8
Superintendência Geral para Graduados e Pesquisa            ,Superintendência Geral para Graduados e Pesquisa            ,6,1,0,0,1,0,0,0,1,0,0,0,1,318794.23
Superintendência Geral para Graduados e Pesquisa            ,Superintendência Geral para Graduados e Pesquisa            ,7,3,0,0,3,0,0,0,3,0,1,0,2,592396.67
Superintendência Geral de Planejamento e Desenvolvimento,Superintendência Geral de Planejamento e Desenvolvimento,7,1,0,0,1,0,0,0,1,0,0,0,1,145077.04
PR-5 Pró-Reitoria de Extensão,PR-5 Pró-Reitoria de Extensão,8,1,0,0,1,0,0,0,1,0,1,0,0,276702.76
PR-5 Pró-Reitoria de Extensão,PR-5 Pró-Reitoria de Extensão,7,1,0,0,1,0,0,0,1,0,0,0,1,376709.2
Escritório Técnico da Universidade,Escritório Técnico da Universidade,7,1,0,0,1,0,0,0,1,0,0,0,1,28886.59
Campus de Macaé,Campus de Macaé,8,3,0,0,3,0,0,0,3,0,0,0,0,937265.28
Campus de Macaé,Campus de Macaé,6,128,5,0,123,0,0,1,127,0,0,13,1,21986937.36
Campus de Macaé,Campus de Macaé,5,28,11,1,16,0,1,27,0,0,0,0,0,2742860.76
Campus de Macaé,Campus de Macaé,4,77,29,1,47,6,8,44,19,0,0,1,0,8441159.45
Campus de Macaé,Campus de Macaé,7,37,0,0,37,0,0,0,37,0,1,5,0,8469521.18
Campus de Xerém,Campus de Xerém,6,35,0,0,35,0,0,0,35,0,0,3,0,6007599.26
Campus de Xerém,Campus de Xerém,7,11,2,0,9,0,0,0,11,0,0,0,1,2479766.89
Campus de Xerém,Campus de Xerém,4,13,0,0,13,0,0,0,13,0,0,1,0,2373505.35
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,6,4,1,2,1,0,0,0,4,0,0,0,1,697289.85
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,4,1,0,1,0,0,0,0,1,0,0,0,0,90559.89
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,7,7,1,5,1,0,0,0,7,0,0,0,0,1414088.74
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,5,3,0,3,0,0,0,3,0,0,1,0,0,289544.78
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,8,3,0,1,2,0,0,0,3,0,0,0,0,902229.45
Superintendência de Tecnologia da Informação,Superintendência de Tecnologia da Informação,8,1,0,0,1,0,0,0,1,0,0,0,1,176739.65
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,5,3,0,1,2,0,0,3,0,0,0,0,0,246199.21
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,8,2,0,0,2,0,0,0,2,0,0,0,0,905174.02
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,6,19,0,1,18,0,0,0,19,0,0,0,0,2730914.05
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,4,3,1,0,2,0,2,0,1,0,0,0,0,145160.83
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,7,9,1,0,8,0,0,0,9,0,0,0,0,2561136
PR-6 Pró-Reitoria de Gestão e Governança,PR-6 Pró-Reitoria de Gestão e Governança,4,1,1,0,0,0,1,0,0,0,0,0,0,45918.78
Centro de Ciências Matemáticas e da Natureza                ,Centro de Ciências Matemáticas e da Natureza                ,8,4,0,0,4,0,0,0,4,0,0,2,1,1309255.97
Centro de Ciências Matemáticas e da Natureza                ,Centro de Ciências Matemáticas e da Natureza                ,6,2,0,1,1,0,0,0,2,0,0,1,0,793115.83
Centro de Ciências Matemáticas e da Natureza                ,Centro de Ciências Matemáticas e da Natureza                ,7,5,0,0,5,0,0,0,5,0,0,5,0,1037250.83
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,7,59,2,0,57,0,0,0,59,0,1,5,0,14340239.22
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,6,40,2,0,38,0,0,1,39,0,1,3,0,7503181.33
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,5,3,2,0,1,0,0,3,0,0,0,0,0,215804.68
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,4,21,1,0,20,1,0,0,20,0,0,0,0,2783392.25
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,8,28,0,0,28,0,0,0,28,0,2,1,1,9415594.39
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Física                                         ,8,17,0,0,17,0,0,0,17,0,3,1,1,5631006.1
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Física                                         ,7,51,0,0,51,0,0,0,51,0,1,7,0,12947341.22
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Física                                         ,6,20,0,0,20,0,0,1,19,0,0,0,0,4190111.24
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Física                                         ,4,13,0,0,13,0,0,0,13,0,0,0,0,1637958.75
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Química                                        ,6,44,0,0,44,0,0,1,43,0,2,3,0,10158719.86
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Química                                        ,8,24,0,0,24,0,0,0,24,0,1,2,1,8422398.84
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Química                                        ,5,2,1,0,1,1,0,1,0,0,0,0,0,209728.98
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Química                                        ,7,56,0,0,56,0,0,0,56,0,2,5,0,14135427.89
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Química                                        ,4,17,0,0,17,0,0,2,15,0,0,0,0,2549204.11
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Geociências                                    ,4,6,0,0,6,0,0,0,6,0,0,0,0,984890.39
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Geociências                                    ,5,2,0,0,2,0,0,2,0,0,0,0,0,184950.64
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Geociências                                    ,8,14,0,0,14,0,0,0,14,0,0,0,0,4427338.71
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Geociências                                    ,6,24,0,0,24,1,0,1,22,0,1,3,0,4771284.05
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Geociências                                    ,7,29,0,0,29,0,0,0,29,0,2,4,1,8334846.63
Centro de Ciências Matemáticas e da Natureza                ,Instituto Tercio Pacitti de Aplic e Pesquisas Computacionais,7,1,0,0,1,0,0,0,1,0,0,0,0,288709.31
Centro de Ciências Matemáticas e da Natureza                ,Instituto Tercio Pacitti de Aplic e Pesquisas Computacionais,6,6,0,1,5,0,0,0,6,0,0,0,0,877283.6
Centro de Ciências Matemáticas e da Natureza                ,Instituto Tercio Pacitti de Aplic e Pesquisas Computacionais,8,1,0,0,1,0,0,0,1,0,0,0,0,287332.15
Centro de Ciências Matemáticas e da Natureza                ,Observatório do Valongo                                     ,6,6,0,0,6,0,0,0,6,0,0,1,0,1226131.88
Centro de Ciências Matemáticas e da Natureza                ,Observatório do Valongo                                     ,4,1,0,0,1,0,0,0,1,0,0,0,0,174472.01
Centro de Ciências Matemáticas e da Natureza                ,Observatório do Valongo                                     ,7,6,0,0,6,0,0,0,6,0,0,1,1,1434161.21
Centro de Ciências Matemáticas e da Natureza                ,Observatório do Valongo                                     ,8,1,0,0,1,0,0,0,1,0,0,0,0,366029.24
Centro de Letras e Artes                                    ,Centro de Letras e Artes                                    ,7,4,0,0,4,0,0,0,4,0,1,2,1,1103157.12
Centro de Letras e Artes                                    ,Centro de Letras e Artes                                    ,6,3,0,0,3,0,0,0,3,0,1,2,0,689193.29
Centro de Letras e Artes                                    ,Faculdade de Arquitetura e Urbanismo                        ,7,38,1,0,37,0,0,0,38,0,2,4,1,9721770.5
Centro de Letras e Artes                                    ,Faculdade de Arquitetura e Urbanismo                        ,4,16,1,0,15,1,0,0,15,0,0,0,0,2010146.29
Centro de Letras e Artes                                    ,Faculdade de Arquitetura e Urbanismo                        ,5,10,1,0,9,0,0,10,0,0,1,0,0,1122464.65
Centro de Letras e Artes                                    ,Faculdade de Arquitetura e Urbanismo                        ,8,7,0,0,7,0,0,0,7,0,0,1,0,2394207.32
Centro de Letras e Artes                                    ,Faculdade de Arquitetura e Urbanismo                        ,6,32,0,2,30,3,0,2,27,0,3,0,0,5775428.39
Centro de Letras e Artes                                    ,Escola de Belas Artes                                       ,7,38,1,1,36,0,0,0,38,0,3,4,1,8719525.74
Centro de Letras e Artes                                    ,Escola de Belas Artes                                       ,4,15,1,0,14,1,0,2,12,0,0,2,0,2309706.43
Centro de Letras e Artes                                    ,Escola de Belas Artes                                       ,5,20,0,0,20,0,0,20,0,0,0,2,0,2616822.8
Centro de Letras e Artes                                    ,Escola de Belas Artes                                       ,8,4,0,0,4,0,0,0,4,0,0,0,0,1124642.97
Centro de Letras e Artes                                    ,Escola de Belas Artes                                       ,6,67,1,1,65,1,1,1,64,0,6,12,0,12663351.21
Centro de Letras e Artes                                    ,Escola de Música                                            ,7,21,1,0,20,0,0,0,21,0,1,2,0,4432657.09
Centro de Letras e Artes                                    ,Escola de Música                                            ,6,30,0,0,30,0,1,3,26,0,3,8,1,6320863.99
Centro de Letras e Artes                                    ,Escola de Música                                            ,8,9,0,0,9,0,0,0,9,0,1,0,0,2885652.22
Centro de Letras e Artes                                    ,Escola de Música                                            ,4,10,0,1,9,4,0,1,5,0,1,0,0,1083709.28
Centro de Letras e Artes                                    ,Escola de Música                                            ,5,22,2,6,14,0,0,22,0,0,1,1,0,2257786.72
Centro de Letras e Artes                                    ,Faculdade de Letras                                         ,4,24,0,0,24,0,2,2,20,0,2,2,0,3653549.65
Centro de Letras e Artes                                    ,Faculdade de Letras                                         ,U,1,0,0,1,0,0,0,1,0,0,0,0,289102.74
Centro de Letras e Artes                                    ,Faculdade de Letras                                         ,8,26,0,0,26,0,0,0,26,0,0,1,0,7794416.42
Centro de Letras e Artes                                    ,Faculdade de Letras                                         ,5,7,0,1,6,0,1,6,0,0,0,1,0,819816.1
Centro de Letras e Artes                                    ,Faculdade de Letras                                         ,7,75,1,1,73,0,0,0,75,0,1,7,1,19904512.39
Centro de Letras e Artes                                    ,Faculdade de Letras                                         ,6,67,0,0,67,0,0,0,67,0,5,6,0,12734681.24
Centro de Filosofia e Ciências Humanas                      ,Centro de Filosofia e Ciências Humanas                      ,8,1,0,0,1,0,0,0,1,0,0,0,1,424202.5
Centro de Filosofia e Ciências Humanas                      ,Centro de Filosofia e Ciências Humanas                      ,7,3,0,0,3,0,0,0,3,0,0,3,0,794602.12
Centro de Filosofia e Ciências Humanas                      ,Instituto de Filosofia e Ciências Sociais,8,14,0,0,14,0,0,0,14,0,0,1,0,4224488.1
Centro de Filosofia e Ciências Humanas                      ,Instituto de Filosofia e Ciências Sociais,7,33,0,1,32,0,0,0,33,0,1,3,1,7568072.01
Centro de Filosofia e Ciências Humanas                      ,Instituto de Filosofia e Ciências Sociais,6,12,0,0,12,0,0,0,12,0,1,3,0,2522834.16
Centro de Filosofia e Ciências Humanas                      ,Instituto de Filosofia e Ciências Sociais,4,13,0,0,13,0,0,0,13,0,2,1,0,1987286.82
Centro de Filosofia e Ciências Humanas                      ,Instituto de Psicologia                                     ,5,2,0,0,2,0,0,2,0,0,0,0,0,218943.21
Centro de Filosofia e Ciências Humanas                      ,Instituto de Psicologia                                     ,8,7,0,0,7,0,0,0,7,0,0,0,0,2883915.37
Centro de Filosofia e Ciências Humanas                      ,Instituto de Psicologia                                     ,6,14,1,0,13,0,0,0,14,0,0,3,0,2885514.47
Centro de Filosofia e Ciências Humanas                      ,Instituto de Psicologia                                     ,4,7,0,0,7,0,0,0,7,0,1,0,0,1230802.79
Centro de Filosofia e Ciências Humanas                      ,Instituto de Psicologia                                     ,7,19,0,0,19,0,0,0,19,0,5,2,1,4413693.64
Centro de Filosofia e Ciências Humanas                      ,Escola de Comunicação                                       ,5,4,1,0,3,0,0,4,0,0,0,1,0,396689.59
Centro de Filosofia e Ciências Humanas                      ,Escola de Comunicação                                       ,4,5,0,0,5,0,0,0,5,0,0,1,0,875209.39
Centro de Filosofia e Ciências Humanas                      ,Escola de Comunicação                                       ,7,42,0,0,42,0,0,0,42,0,1,7,1,9749110.02
Centro de Filosofia e Ciências Humanas                      ,Escola de Comunicação                                       ,6,15,0,0,15,0,0,1,14,0,1,3,0,4024821.5
Centro de Filosofia e Ciências Humanas                      ,Escola de Comunicação                                       ,8,15,0,0,15,0,0,0,15,0,1,0,0,4277660.36
Centro de Filosofia e Ciências Humanas                      ,Faculdade de Educação                                       ,5,2,0,0,2,0,0,2,0,0,0,0,0,390957.12
Centro de Filosofia e Ciências Humanas                      ,Faculdade de Educação                                       ,4,12,0,0,12,0,1,0,11,0,0,1,0,1920790.44
Centro de Filosofia e Ciências Humanas                      ,Faculdade de Educação                                       ,7,43,0,0,43,0,0,0,43,0,0,1,0,10658025.82
Centro de Filosofia e Ciências Humanas                      ,Faculdade de Educação                                       ,6,53,1,0,52,0,0,0,53,0,2,1,0,9748508.34
Centro de Filosofia e Ciências Humanas                      ,Faculdade de Educação                                       ,8,9,0,0,9,0,0,0,9,0,0,0,1,1981128.78
Centro de Filosofia e Ciências Humanas                      ,Escola de Serviço Social                                    ,4,8,0,0,8,0,0,1,7,0,1,0,0,1128063.48
Centro de Filosofia e Ciências Humanas                      ,Escola de Serviço Social                                    ,5,1,0,0,1,0,0,1,0,0,0,0,0,110421.31
Centro de Filosofia e Ciências Humanas                      ,Escola de Serviço Social                                    ,7,24,0,0,24,0,0,0,24,0,2,1,1,7373133.36
Centro de Filosofia e Ciências Humanas                      ,Escola de Serviço Social                                    ,8,6,0,0,6,0,0,0,6,0,0,0,0,1591819.57
Centro de Filosofia e Ciências Humanas                      ,Escola de Serviço Social                                    ,6,11,0,0,11,0,0,0,11,0,1,1,0,2105853.45
Centro de Filosofia e Ciências Humanas                      ,Núcleo de Estudos em Políticas Públicas de Direitos Humanos,6,4,0,0,4,0,0,0,4,0,0,1,0,453203.57
Centro de Filosofia e Ciências Humanas                      ,Núcleo de Estudos em Políticas Públicas de Direitos Humanos,4,2,0,0,2,0,0,0,2,0,0,0,0,528889.41
Centro de Filosofia e Ciências Humanas                      ,Núcleo de Estudos em Políticas Públicas de Direitos Humanos,7,8,0,0,8,0,0,0,8,0,0,3,1,2033473.81
Centro de Filosofia e Ciências Humanas                      ,Instituto de História ,8,7,0,0,7,0,0,0,7,0,0,1,0,1954358.49
Centro de Filosofia e Ciências Humanas                      ,Instituto de História ,4,8,0,0,8,0,0,0,8,0,0,0,0,744817.85
Centro de Filosofia e Ciências Humanas                      ,Instituto de História ,6,13,0,0,13,0,0,0,13,0,0,1,0,2506982.71
Centro de Filosofia e Ciências Humanas                      ,Instituto de História ,7,21,0,0,21,0,0,0,21,0,1,2,1,5284264.14
Centro de Ciências Jurídicas e Econômicas                   ,Centro de Ciências Jurídicas e Econômicas                   ,6,2,0,0,2,0,0,0,2,0,0,2,0,765270.73
Centro de Ciências Jurídicas e Econômicas                   ,Centro de Ciências Jurídicas e Econômicas                   ,7,3,0,0,3,0,0,0,3,0,0,1,1,559657.11
Centro de Ciências Jurídicas e Econômicas                   ,Faculdade de Direito                                        ,6,28,3,11,14,0,0,1,27,0,3,2,0,3705430.56
Centro de Ciências Jurídicas e Econômicas                   ,Faculdade de Direito                                        ,8,4,0,1,3,0,0,0,4,0,0,1,0,1095401.48
Centro de Ciências Jurídicas e Econômicas                   ,Faculdade de Direito                                        ,7,24,1,12,11,0,0,0,24,0,0,3,1,4468494.59
Centro de Ciências Jurídicas e Econômicas                   ,Faculdade de Direito                                        ,5,13,8,2,3,0,0,13,0,0,0,0,0,951772.14
Centro de Ciências Jurídicas e Econômicas                   ,Faculdade de Direito                                        ,4,22,9,1,12,1,0,2,19,0,1,3,0,2103828.66
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pesquisa e Planejamento Urbano Regional/CCJE,8,5,0,0,5,0,0,0,5,0,0,0,0,1692634.53
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pesquisa e Planejamento Urbano Regional/CCJE,4,15,0,0,15,0,0,0,15,0,1,1,0,2049679.98
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pesquisa e Planejamento Urbano Regional/CCJE,7,10,0,0,10,0,0,0,10,0,0,1,1,2176892.26
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pesquisa e Planejamento Urbano Regional/CCJE,5,1,0,0,1,0,0,1,0,0,0,0,0,110371.63
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pesquisa e Planejamento Urbano Regional/CCJE,U,1,0,0,1,0,0,0,1,0,0,0,0,258580.12
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pesquisa e Planejamento Urbano Regional/CCJE,6,4,0,0,4,0,0,0,4,0,0,0,0,1317854.05
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pós-Graduação e Pesquisa Administrativa,6,4,0,0,4,0,0,0,4,0,0,0,1,1110866.28
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pós-Graduação e Pesquisa Administrativa,4,3,0,0,3,0,0,0,3,0,0,0,0,488867.65
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pós-Graduação e Pesquisa Administrativa,7,11,1,0,10,0,0,0,11,0,0,1,0,2934968.22
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Pós-Graduação e Pesquisa Administrativa,8,2,0,0,2,0,0,0,2,0,0,0,0,683492.23
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Economia Ie/CCJE                               ,4,9,0,0,9,0,0,0,9,0,0,0,0,1239518.03
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Economia Ie/CCJE                               ,7,39,2,0,37,0,0,0,39,0,0,3,1,9732622.22
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Economia Ie/CCJE                               ,5,3,0,1,2,1,0,2,0,0,0,0,0,342180.58
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Economia Ie/CCJE                               ,6,28,2,0,26,0,0,1,27,0,0,2,0,5289088.34
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Economia Ie/CCJE                               ,8,4,0,0,4,0,0,0,4,0,0,0,0,1932955.16
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Economia Ie/CCJE                               ,U,1,0,0,1,0,0,0,1,0,0,0,0,245926.41
