ano,periodo,Centro,Faculdade/ Escola,curso,nivel,QTD-ingressante
1999,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,15
2000,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
2000,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
2001,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1984,2,,,Filosofia,Doutorado,2
1984,2,,,Filosofia,Mestrado,1
1984,2,,,Física,Doutorado,5
2001,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,14
1984,2,,,Fisica,Mestrado,1
1984,2,,,Fisico-Quimica           ,Mestrado,1
2002,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2002,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,1
1984,2,,,Letras (Ciência da Literatura),Mestrado,1
1984,2,,,Letras (Letras Vernáculas),Doutorado,2
1984,2,,,Letras (Letras Vernáculas),Mestrado,1
1984,2,,,Letras (Lingüística e Filologia),Mestrado,6
1984,2,,,Letras - Linguística e Filologia (Doutorado),Doutorado,2
1984,2,,,Letras Neolatinas,Mestrado,4
2003,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
2003,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,9
2004,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2004,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
2005,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,15
2005,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1984,2,,,Matemática,Doutorado,1
2006,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1984,2,,,Matemática,Mestrado,4
2006,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2007,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
2007,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
1984,2,,,Neurologia                       (Mestrado),Mestrado,7
2008,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2008,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2009,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2009,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
2010,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
